# run4mins.mp4 · Face + Person · litert_npu
# passages=103 movedThrough=76 likelySubject=40 captured=32 chunks=30
# a track is one continuous sighting, not one person — bystanders are tracked, chunk boundaries split a subject in two, and there is no re-identification
chunk,track,firstUs,lastUs,durationUs,frames,firstX,firstY,lastX,lastY,velX,velY,speed,directionDeg,direction,displacement,closestToCentre,meanHeight,movedThrough,likelySubject,captured,photos
32,80,242120000,243800000,1680000,14,0.5727,0.5391,0.1008,0.5998,-0.4619,0.1034,0.4733,167.4,R→L,0.4758,0.0361,0.3011,1,1,1,3
32,81,242360000,243800000,1440000,7,0.9688,0.5352,0.8984,0.6104,-0.1610,0.1612,0.2278,135.0,toward,0.1029,0.4134,0.1557,1,0,0,0
32,82,244160000,245360000,1200000,6,0.8438,0.5378,0.5977,0.5330,-0.1636,-0.0281,0.1660,189.7,R→L,0.2461,0.1031,0.0215,1,0,0,0
32,83,246200000,247280000,1080000,8,0.4352,0.5343,0.2023,0.5717,-0.2413,0.0944,0.2591,158.6,R→L,0.2358,0.0734,0.0281,1,0,0,0
33,85,247400000,247640000,240000,3,0.6797,0.7291,0.6359,0.7331,-0.1742,-0.0174,0.1750,185.7,static,0.0439,0.2698,0.1290,0,0,0,0
33,84,247400000,247880000,480000,5,0.2219,0.7124,0.0758,0.6851,-0.2450,-0.1285,0.2766,207.7,R→L,0.1486,0.3500,0.2857,1,1,0,0
33,86,248120000,251360000,3240000,24,0.9375,0.6579,0.0617,0.6271,-0.2702,-0.0617,0.2771,192.9,R→L,0.8763,0.1278,0.3177,1,1,1,3
33,87,248240000,248600000,360000,2,0.9203,0.5624,0.8672,0.5180,-0.0738,-0.0617,0.0962,219.9,static,0.0692,0.3676,0.0295,0,0,0,0
33,88,248840000,250160000,1320000,12,0.5141,0.6394,0.3328,0.6640,-0.1116,0.0219,0.1138,168.9,R→L,0.1829,0.1401,0.1185,1,0,0,0
33,89,248960000,252440000,3480000,30,0.9688,0.6249,0.0898,0.5536,-0.3516,-0.1570,0.3851,204.1,R→L,0.8818,0.1364,0.2575,1,1,1,3
33,90,251240000,251960000,720000,7,0.2023,0.6689,0.0477,0.6209,-0.2075,-0.1090,0.2344,207.7,R→L,0.1619,0.3422,0.1506,1,0,0,0
33,91,251600000,252440000,840000,3,0.8625,0.6491,0.7437,0.5620,-0.1042,-0.0794,0.1310,217.3,R→L,0.1473,0.2515,0.0932,1,0,0,0
33,92,251960000,252440000,480000,5,0.9656,0.5875,0.9195,0.5453,-0.0777,-0.1005,0.1271,232.3,static,0.0625,0.4220,0.1186,0,0,0,0
34,93,256280000,256640000,360000,2,0.3430,0.5449,0.3102,0.5449,-0.0456,0.0000,0.0456,180.0,static,0.0328,0.1633,0.0132,0,0,0,0
34,94,257240000,257240000,0,1,0.7563,0.5123,0.7563,0.5123,0.0000,0.0000,0.0000,0.0,static,0.0000,0.2565,0.0185,0,0,0,0
34,96,258200000,258320000,120000,2,0.1664,0.4899,0.0328,0.5400,-0.5566,0.2089,0.5945,159.4,R→L,0.1427,0.3337,0.0176,1,0,0,0
34,95,258200000,260000000,1800000,12,0.5938,0.5031,0.0875,0.4969,-0.4135,0.0328,0.4148,175.5,R→L,0.5063,0.0167,0.0256,1,0,0,0
34,97,259040000,260000000,960000,9,0.9312,0.4771,0.7453,0.4732,-0.2114,0.0136,0.2119,176.3,R→L,0.1860,0.2468,0.0289,1,0,0,0
34,99,260120000,260240000,120000,2,0.0719,0.5893,0.0477,0.5792,-0.1009,-0.0421,0.1094,202.7,static,0.0262,0.4373,0.2309,0,0,0,0
34,98,260120000,262160000,2040000,18,0.7289,0.5704,0.1297,0.5937,-0.2143,0.0692,0.2252,162.1,R→L,0.5997,0.0751,0.3303,1,1,1,3
35,100,268760000,270440000,1680000,13,0.9438,0.4688,0.6422,0.4428,-0.1890,-0.0327,0.1918,189.8,R→L,0.3027,0.1532,0.0262,1,0,0,0
35,101,269480000,269480000,0,1,0.4453,0.5251,0.4453,0.5251,0.0000,0.0000,0.0000,0.0,static,0.0000,0.0602,0.0158,0,0,0,0
36,103,270560000,271400000,840000,8,0.3359,0.5849,0.2242,0.5880,-0.1197,0.0011,0.1197,179.5,R→L,0.1118,0.1847,0.1586,1,0,0,0
36,102,270560000,272120000,1560000,14,0.6172,0.5704,0.1039,0.5475,-0.3347,-0.0705,0.3421,191.9,R→L,0.5138,0.0542,0.3317,1,1,1,3
